
=== Single numbers ===                                                           |  8bit      |  4bit      |  4bit_rle  |  2bit     
[103]                                                                            :     1      :     2      :     2      :     2     
[104]                                                                            :     1      :     2      :     2      :     2     
[105]                                                                            :     1      :     2      :     2      :     2     
[106]                                                                            :     1      :     2      :     2      :     2     
[107]                                                                            :     1      :     2      :     2      :     2     
[108]                                                                            :     1      :     2      :     2      :     2     
[109]                                                                            :     1      :     2      :     2      :     2     
[110]                                                                            :     1      :     2      :     2      :     2     
[111]                                                                            :     1      :     2      :     2      :     2     
[112]                                                                            :     1      :     2      :     2      :     2     
[113]                                                                            :     1      :     2      :     2      :     2     
[114]                                                                            :     1      :     2      :     2      :     2     
[115]                                                                            :     1      :     2      :     2      :     2     
[116]                                                                            :     1      :     2      :     2      :     2     
[117]                                                                            :     1      :     2      :     2      :     2     
[118]                                                                            :     1      :     2      :     2      :     2     
[119]                                                                            :     1      :     2      :     2      :     2     
[120]                                                                            :     1      :     2      :     2      :     2     
[121]                                                                            :     1      :     2      :     2      :     2     
[122]                                                                            :     1      :     2      :     2      :     2     
[123]                                                                            :     1      :     2      :     2      :     2     
[124]                                                                            :     1      :     2      :     2      :     2     
[125]                                                                            :     1      :     2      :     2      :     2     
[126]                                                                            :     1      :     2      :     2      :     2     
[127]                                                                            :     1      :     2      :     2      :     2     
[128]                                                                            :     2      :     2      :     2      :     2     
[129]                                                                            :     2      :     2      :     2      :     2     
[130]                                                                            :     2      :     2      :     2      :     2     
[131]                                                                            :     2      :     2      :     2      :     2     
[132]                                                                            :     2      :     2      :     2      :     2     
[133]                                                                            :     2      :     2      :     2      :     2     
[134]                                                                            :     2      :     2      :     2      :     2     
[135]                                                                            :     2      :     2      :     2      :     2     
[136]                                                                            :     2      :     2      :     2      :     2     
[137]                                                                            :     2      :     2      :     2      :     2     
[138]                                                                            :     2      :     2      :     2      :     2     
[139]                                                                            :     2      :     2      :     2      :     2     
[140]                                                                            :     2      :     2      :     2      :     2     
[141]                                                                            :     2      :     2      :     2      :     2     
[142]                                                                            :     2      :     2      :     2      :     2     
[143]                                                                            :     2      :     2      :     2      :     2     
[144]                                                                            :     2      :     2      :     2      :     2     
[145]                                                                            :     2      :     2      :     2      :     2     
[146]                                                                            :     2      :     2      :     2      :     2     
[147]                                                                            :     2      :     2      :     2      :     2     
[148]                                                                            :     2      :     2      :     2      :     2     
[149]                                                                            :     2      :     2      :     2      :     2     
[150]                                                                            :     2      :     2      :     2      :     2     

=== Single numbers exponential ===                                               |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[0]                                                                              :     1      :     1      :     1      :     1     
[1]                                                                              :     1      :     1      :     1      :     1     
[3]                                                                              :     1      :     1      :     1      :     1     
[7]                                                                              :     1      :     1      :     1      :     1     
[15]                                                                             :     1      :     1      :     1      :     1     
[31]                                                                             :     1      :     1      :     1      :     1     
[63]                                                                             :     1      :     1      :     1      :     2     
[127]                                                                            :     1      :     2      :     2      :     2     
[255]                                                                            :     2      :     2      :     2      :     2     
[511]                                                                            :     2      :     2      :     2      :     2     
[1023]                                                                           :     2      :     2      :     2      :     2     
[2047]                                                                           :     2      :     2      :     2      :     2     
[4095]                                                                           :     2      :     2      :     2      :     2     
[8191]                                                                           :     2      :     3      :     3      :     3     
[16383]                                                                          :     2      :     3      :     3      :     3     
[32767]                                                                          :     3      :     3      :     3      :     3     
[65535]                                                                          :     3      :     3      :     3      :     3     
[131071]                                                                         :     3      :     3      :     3      :     3     
[262143]                                                                         :     3      :     3      :     3      :     3     
[524287]                                                                         :     3      :     4      :     3      :     3     
[1048575]                                                                        :     3      :     4      :     4      :     4     
[2097151]                                                                        :     3      :     4      :     4      :     4     
[4194303]                                                                        :     4      :     4      :     4      :     4     
[8388607]                                                                        :     4      :     4      :     4      :     4     
[16777215]                                                                       :     4      :     4      :     4      :     4     
[33554431]                                                                       :     4      :     5      :     4      :     5     
[67108863]                                                                       :     4      :     5      :     4      :     5     
[134217727]                                                                      :     4      :     5      :     5      :     5     
[268435455]                                                                      :     4      :     5      :     5      :     5     
[536870911]                                                                      :     5      :     5      :     5      :     5     
[1073741823]                                                                     :     5      :     5      :     5      :     5     
[2147483647]                                                                     :     5      :     6      :     5      :     5     
[4294967295]                                                                     :     5      :     6      :     5      :     5     
[8589934591]                                                                     :     5      :     6      :     6      :     6     
[17179869183]                                                                    :     5      :     6      :     6      :     6     
[34359738367]                                                                    :     5      :     6      :     6      :     6     
[68719476735]                                                                    :     6      :     6      :     6      :     6     
[137438953471]                                                                   :     6      :     7      :     6      :     6     
[274877906943]                                                                   :     6      :     7      :     6      :     6     
[549755813887]                                                                   :     6      :     7      :     6      :     6     
[1099511627775]                                                                  :     6      :     7      :     6      :     6     
[2199023255551]                                                                  :     6      :     7      :     7      :     7     
[4398046511103]                                                                  :     6      :     7      :     7      :     7     
[8796093022207]                                                                  :     7      :     8      :     7      :     7     
[17592186044415]                                                                 :     7      :     8      :     7      :     7     
[35184372088831]                                                                 :     7      :     8      :     7      :     7     
[70368744177663]                                                                 :     7      :     8      :     7      :     7     
[140737488355327]                                                                :     7      :     8      :     7      :     7     
[281474976710655]                                                                :     7      :     8      :     7      :     7     
[562949953421311]                                                                :     7      :     9      :     9      :     8     
[1125899906842623]                                                               :     8      :     9      :     9      :     8     
[2251799813685247]                                                               :     8      :     9      :     9      :     8     
[4503599627370495]                                                               :     8      :     9      :     9      :     8     
[9007199254740991]                                                               :     8      :     9      :     9      :     8     
[18014398509481983]                                                              :     8      :     9      :     9      :     8     
[36028797018963967]                                                              :     8      :    10      :     9      :     8     
[72057594037927935]                                                              :     8      :    10      :     9      :     8     
[144115188075855871]                                                             :     9      :    10      :     9      :     9     
[288230376151711743]                                                             :     9      :    10      :     9      :     9     
[576460752303423487]                                                             :     9      :    10      :     9      :     9     
[1152921504606846975]                                                            :     9      :    10      :     9      :     9     
[2305843009213693951]                                                            :     9      :    11      :     9      :     9     
[4611686018427387903]                                                            :     9      :    11      :     9      :     9     
[9223372036854775807]                                                            :     9      :    11      :     9      :     9     
[18446744073709551615]                                                           :    10      :    11      :     9      :     9     

=== 4 numbers exponential ===                                                    |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0]                                                                     :     4      :     2      :     2      :     1     
[1, 1, 1, 1]                                                                     :     4      :     2      :     2      :     1     
[3, 3, 3, 3]                                                                     :     4      :     2      :     2      :     2     
[7, 7, 7, 7]                                                                     :     4      :     2      :     2      :     4     
[15, 15, 15, 15]                                                                 :     4      :     4      :     4      :     4     
[31, 31, 31, 31]                                                                 :     4      :     4      :     4      :     4     
[63, 63, 63, 63]                                                                 :     4      :     4      :     4      :     8     
[127, 127, 127, 127]                                                             :     4      :     6      :     6      :     8     
[255, 255, 255, 255]                                                             :     8      :     6      :     6      :     8     
[511, 511, 511, 511]                                                             :     8      :     6      :     6      :     8     
[1023, 1023, 1023, 1023]                                                         :     8      :     8      :     8      :     8     
[2047, 2047, 2047, 2047]                                                         :     8      :     8      :     8      :     8     
[4095, 4095, 4095, 4095]                                                         :     8      :     8      :     8      :     8     
[8191, 8191, 8191, 8191]                                                         :     8      :    10      :    12      :    12     
[16383, 16383, 16383, 16383]                                                     :     8      :    10      :    12      :    12     
[32767, 32767, 32767, 32767]                                                     :    12      :    10      :    12      :    12     
[65535, 65535, 65535, 65535]                                                     :    12      :    12      :    12      :    12     
[131071, 131071, 131071, 131071]                                                 :    12      :    12      :    12      :    12     
[262143, 262143, 262143, 262143]                                                 :    12      :    12      :    12      :    12     
[524287, 524287, 524287, 524287]                                                 :    12      :    14      :    12      :    12     
[1048575, 1048575, 1048575, 1048575]                                             :    12      :    14      :    16      :    16     
[2097151, 2097151, 2097151, 2097151]                                             :    12      :    14      :    16      :    16     
[4194303, 4194303, 4194303, 4194303]                                             :    16      :    16      :    16      :    16     
[8388607, 8388607, 8388607, 8388607]                                             :    16      :    16      :    16      :    16     
[16777215, 16777215, 16777215, 16777215]                                         :    16      :    16      :    16      :    16     
[33554431, 33554431, 33554431, 33554431]                                         :    16      :    18      :    16      :    20     
[67108863, 67108863, 67108863, 67108863]                                         :    16      :    18      :    16      :    20     
[134217727, 134217727, 134217727, 134217727]                                     :    16      :    18      :    20      :    20     
[268435455, 268435455, 268435455, 268435455]                                     :    16      :    20      :    20      :    20     
[536870911, 536870911, 536870911, 536870911]                                     :    20      :    20      :    20      :    20     
[1073741823, 1073741823, 1073741823, 1073741823]                                 :    20      :    20      :    20      :    20     
[2147483647, 2147483647, 2147483647, 2147483647]                                 :    20      :    22      :    20      :    20     
[4294967295, 4294967295, 4294967295, 4294967295]                                 :    20      :    22      :    20      :    20     
[8589934591, 8589934591, 8589934591, 8589934591]                                 :    20      :    22      :    24      :    24     
[17179869183, 17179869183, 17179869183, 17179869183]                             :    20      :    24      :    24      :    24     
[34359738367, 34359738367, 34359738367, 34359738367]                             :    20      :    24      :    24      :    24     
[68719476735, 68719476735, 68719476735, 68719476735]                             :    24      :    24      :    24      :    24     
[137438953471, 137438953471, 137438953471, 137438953471]                         :    24      :    26      :    24      :    24     
[274877906943, 274877906943, 274877906943, 274877906943]                         :    24      :    26      :    24      :    24     
[549755813887, 549755813887, 549755813887, 549755813887]                         :    24      :    26      :    24      :    24     
[1099511627775, 1099511627775, 1099511627775, 1099511627775]                     :    24      :    28      :    24      :    24     
[2199023255551, 2199023255551, 2199023255551, 2199023255551]                     :    24      :    28      :    28      :    28     
[4398046511103, 4398046511103, 4398046511103, 4398046511103]                     :    24      :    28      :    28      :    28     
[8796093022207, 8796093022207, 8796093022207, 8796093022207]                     :    28      :    30      :    28      :    28     
[17592186044415, 17592186044415, 17592186044415, 17592186044415]                 :    28      :    30      :    28      :    28     
[35184372088831, 35184372088831, 35184372088831, 35184372088831]                 :    28      :    30      :    28      :    28     
[70368744177663, 70368744177663, 70368744177663, 70368744177663]                 :    28      :    32      :    28      :    28     
[140737488355327, 140737488355327, 140737488355327, 140737488355327]             :    28      :    32      :    28      :    28     
[281474976710655, 281474976710655, 281474976710655, 281474976710655]             :    28      :    32      :    28      :    28     
[562949953421311, 562949953421311, 562949953421311, 562949953421311]             :    28      :    34      :    36      :    32     
[1125899906842623, 1125899906842623, 1125899906842623, 1125899906842623]         :    32      :    34      :    36      :    32     
[2251799813685247, 2251799813685247, 2251799813685247, 2251799813685247]         :    32      :    34      :    36      :    32     
[4503599627370495, 4503599627370495, 4503599627370495, 4503599627370495]         :    32      :    36      :    36      :    32     
[9007199254740991, 9007199254740991, 9007199254740991, 9007199254740991]         :    32      :    36      :    36      :    32     
[18014398509481983, 18014398509481983, 18014398509481983, 18014398509481983]     :    32      :    36      :    36      :    32     
[36028797018963967, 36028797018963967, 36028797018963967, 36028797018963967]     :    32      :    38      :    36      :    32     
[72057594037927935, 72057594037927935, 72057594037927935, 72057594037927935]     :    32      :    38      :    36      :    32     
[144115188075855871, 144115188075855871, 144115188075855871, 14411518807585...   :    36      :    38      :    36      :    36     
[288230376151711743, 288230376151711743, 288230376151711743, 28823037615171...   :    36      :    40      :    36      :    36     
[576460752303423487, 576460752303423487, 576460752303423487, 57646075230342...   :    36      :    40      :    36      :    36     
[1152921504606846975, 1152921504606846975, 1152921504606846975, 11529215046...   :    36      :    40      :    36      :    36     
[2305843009213693951, 2305843009213693951, 2305843009213693951, 23058430092...   :    36      :    42      :    36      :    36     
[4611686018427387903, 4611686018427387903, 4611686018427387903, 46116860184...   :    36      :    42      :    36      :    36     
[9223372036854775807, 9223372036854775807, 9223372036854775807, 92233720368...   :    36      :    42      :    36      :    36     
[18446744073709551615, 18446744073709551615, 18446744073709551615, 18446744...   :    40      :    44      :    36      :    36     

=== Array: rather small random numbers ===                                       |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[0, 6, 1, 2, 659, 4, 3, 14, 330, 3484]                                           :    13      :    10      :    10      :    10     
[12, 188, 1, 54, 17, 1, 8, 87145, 1, 1]                                          :    13      :    11      :    11      :    11     
[104176, 2, 0, 1, 0, 3, 40867, 0, 6, 0]                                          :    14      :    10      :    10      :    10     
[9, 0, 17, 4, 2, 1, 1, 1, 37, 1]                                                 :    10      :     7      :     7      :     6     
[32936, 1, 38367, 1, 451649, 759, 2, 810934, 59936255, 13]                       :    22      :    22      :    22      :    22     
[2349004787, 106, 2, 0, 0, 19165, 0, 1, 1, 3]                                    :    16      :    13      :    13      :    13     
[4, 55, 0, 3, 9, 55, 296, 1, 1, 28712956]                                        :    14      :    12      :    11      :    14     
[0, 0, 1, 1, 1, 0, 1, 0, 2, 1]                                                   :    10      :     5      :     5      :     3     
[1828369, 4, 1, 2, 23, 16, 1, 17, 264, 2300827496]                               :    17      :    16      :    16      :    16     
[0, 0, 1, 1, 1, 6, 0, 7367, 1, 12]                                               :    11      :     8      :     8      :     7     
[148191094, 2, 0, 500098, 2, 1, 1, 2, 68, 337641]                                :    17      :    16      :    15      :    16     
[0, 0, 749, 3, 0, 2, 0, 16, 69, 694]                                             :    12      :     9      :     9      :     9     
[117, 1, 513381, 2, 1, 80895, 1, 1, 1, 2]                                        :    14      :    12      :    11      :    11     
[1, 1, 0, 1, 478, 1, 27, 0, 2, 0]                                                :    11      :     7      :     7      :     6     
[4, 0, 333885, 1, 0, 1, 1, 1, 1, 4]                                              :    12      :     8      :     8      :     6     
[1, 0, 245, 1, 22, 9, 1, 0, 249, 0]                                              :    12      :     8      :     8      :     8     
[15, 232, 1, 42, 2, 0, 0, 2, 0, 1053200345]                                      :    15      :    12      :    12      :    12     
[1, 1, 1, 112, 1397, 0, 1, 448371493, 0, 4521]                                   :    16      :    14      :    14      :    14     
[0, 2, 0, 3, 0, 0, 1, 1, 82, 0]                                                  :    10      :     6      :     6      :     5     
[0, 2, 12, 2888, 1, 4, 0, 770, 442, 11]                                          :    13      :    10      :    10      :    10     

=== Array: rather bigger random numbers ===                                      |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[446297, 917364321, 232, 65215580, 4, 1, 10, 6985, 57, 3]                        :    21      :    21      :    20      :    23     
[0, 1, 0, 115, 1, 391076, 7126931, 100461, 47, 0]                                :    17      :    16      :    15      :    16     
[398611976, 22230920, 2870296, 30025383, 997183, 1124856667, 1002041106, 824381, 10750066, 118403]
                                                                                 :    40      :    42      :    42      :    44     
[423366524, 12399266, 0, 11, 54601, 2023, 202753972, 239953, 80189, 2964983491]
                                                                                 :    31      :    32      :    32      :    32     
[10453965, 5873232, 1812674, 57781820, 35, 1019929474, 180128442, 1, 536, 13]    :    29      :    30      :    30      :    32     
[1652548836, 63277, 21, 105350, 7, 980341, 5863379, 12398319, 1107144, 2101615]
                                                                                 :    30      :    32      :    33      :    33     
[108, 728, 7, 50, 1683518376, 482, 2016, 4, 30, 75]                              :    17      :    17      :    17      :    20     
[77, 585480477, 513911, 207227556, 154410165, 80, 190, 1, 3768569, 746783]       :    28      :    31      :    31      :    33     
[172233, 23, 13, 3, 1334601699, 864, 32291169, 71365, 187260, 10624895]          :    27      :    28      :    27      :    28     
[98, 2, 3, 0, 24120762, 26075940, 1158249, 80, 35863, 159426201]                 :    23      :    25      :    25      :    28     
[500389, 0, 137, 223, 1664463665, 721113, 1678070, 11054141, 1568668, 156621022]
                                                                                 :    30      :    32      :    33      :    34     
[114, 964, 18404428, 4, 596453148, 1663131632, 36914, 423480, 424576, 921002]    :    30      :    32      :    31      :    33     
[509, 987566, 27873830, 287, 138130770, 16350161, 142523987, 1, 952957598, 17007]
                                                                                 :    32      :    32      :    34      :    36     
[22, 21, 2, 429185, 15131, 42911849, 113368816, 229, 11403, 9131453]             :    24      :    26      :    26      :    28     
[99043, 1, 1, 7793923, 2344, 28880962, 5469, 27847678, 61, 43903]                :    25      :    26      :    25      :    28     
[12126, 171285, 28026733, 40690, 81, 11, 1771016255, 61672271, 9229386, 15]      :    28      :    31      :    30      :    32     
[206439, 46, 245387, 3969240040, 4650, 1027650112, 69, 40295, 13, 11636]         :    26      :    27      :    27      :    30     
[0, 1743932, 32, 5, 55553790, 169105327, 40138755, 5417722, 8, 20712227]         :    27      :    29      :    28      :    31     
[15224517, 2141388, 1126961, 118, 26865472, 656579243, 1, 988520678, 43, 2137000]
                                                                                 :    32      :    32      :    33      :    36     
[32, 2898, 355910, 12762762, 2816, 354769980, 885018, 903, 22637, 15831812]      :    29      :    30      :    30      :    30     

=== Arrays of small numbers ===                                                  |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[0]                                                                              :     1      :     1      :     1      :     1     
[0, 1]                                                                           :     2      :     1      :     1      :     1     
[0, 1, 2]                                                                        :     3      :     2      :     2      :     1     
[0, 1, 2, 3]                                                                     :     4      :     2      :     2      :     2     
[0, 1, 2, 3, 4]                                                                  :     5      :     3      :     3      :     2     
[0, 1, 2, 3, 4, 5]                                                               :     6      :     3      :     3      :     3     
[0, 1, 2, 3, 4, 5, 6]                                                            :     7      :     4      :     4      :     4     
[0, 1, 2, 3, 4, 5, 6, 7]                                                         :     8      :     4      :     4      :     5     
[0, 1, 2, 3, 4, 5, 6, 7, 8]                                                      :     9      :     5      :     5      :     6     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                                                   :    10      :     6      :     6      :     7     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]                                               :    11      :     7      :     7      :     8     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]                                           :    12      :     8      :     8      :     9     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]                                       :    13      :     9      :     9      :    10     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]                                   :    14      :    10      :    10      :    11     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]                               :    15      :    11      :    11      :    12     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]                           :    16      :    12      :    12      :    13     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]                       :    17      :    13      :    13      :    14     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]                   :    18      :    14      :    14      :    15     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]               :    19      :    15      :    15      :    16     
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]           :    20      :    16      :    16      :    17     

=== Mixed number arrays ===                                                      |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[3, 2409]                                                                        :     3      :     3      :     3      :     3     
[4, 24138854]                                                                    :     5      :     5      :     5      :     6     
[1, 0, 2, 6754560]                                                               :     7      :     6      :     6      :     5     
[1, 7851, 2, 1266]                                                               :     6      :     6      :     6      :     6     
[1, 57407, 1, 19867, 1, 60216]                                                   :    12      :    10      :    11      :    10     
[1, 72984, 1, 1701508585, 1, 9053]                                               :    13      :    13      :    13      :    12     
[2, 191326, 1, 6, 1, 52873836, 1, 3559478]                                       :    16      :    14      :    14      :    15     
[1, 38747849, 1, 165862918, 1, 354297572, 1, 18952]                              :    20      :    19      :    19      :    19     
[1, 6889, 1, 449, 1, 31342304, 3, 1, 1, 360]                                     :    16      :    13      :    13      :    14     
[1, 0, 2, 916111066, 1, 401945607, 1, 0, 1, 62024861]                            :    21      :    18      :    18      :    17     
[1, 15859, 1, 358408078, 1, 1237, 1, 21648, 1, 2426713, 1, 141983]               :    25      :    22      :    23      :    22     
[1, 242, 1, 12, 2, 1228, 1, 1248, 1, 1743010, 1, 14708051]                       :    20      :    17      :    18      :    17     
[1, 5190917, 3, 13179, 2, 1467793831, 1, 111881573, 1, 72, 6, 9746269, 4, 653]   :    29      :    28      :    28      :    29     
[1, 115978285, 1, 900704, 1, 66606, 1, 945196503, 1, 34, 1, 21, 1, 62221577]     :    28      :    26      :    27      :    26     
[1, 45876864, 1, 24780, 3, 22822654, 1, 0, 1, 1285, 1, 5791, 1, 0, 1, 21]        :    26      :    22      :    22      :    22     
[1, 11, 1, 157494, 1, 829933203, 1, 189, 1, 2258737, 1, 1834767, 1, 3116, 1, 19]
                                                                                 :    29      :    25      :    26      :    24     
[1, 21, 1, 24844406, 1, 664, 1, 5014862, 1, 143, 1, 2, 1, 8, 1, 2310, 1, 6527]   :    28      :    24      :    24      :    23     
[1, 835227, 5, 104152, 2, 937283, 1, 2809782460, 1, 120675, 1, 3425400856, 2, 16209177, 1, 3102417, 1, 3]
                                                                                 :    40      :    37      :    37      :    36     
[1, 4010, 1, 85207665, 1, 398876, 1, 202533, 1, 9863, 1, 4885, 2, 139011, 1, 3907129, 1, 0, 1, 237991618]
                                                                                 :    38      :    36      :    37      :    34     
[1, 25, 1, 180814, 3, 196219677, 3, 996573, 1, 3097969599, 1, 36, 1, 461056, 1, 191634246, 2, 58221267, 4, 977975]
                                                                                 :    41      :    41      :    40      :    40     

=== Pattern arrays [0,0,big,small,big,mediumsmall,medium] ===                    |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 31947, 4, 49574, 24, 4661]                                                :    12      :    10      :    11      :    11     
[0, 0, 103833, 8, 67933, 17, 5859]                                               :    12      :    12      :    12      :    12     
[0, 0, 148996, 8, 12422, 26, 11680]                                              :    11      :    11      :    12      :    12     
[0, 0, 221716, 4, 1356, 17, 12768]                                               :    11      :    10      :    11      :    10     
[0, 0, 153005, 1, 18865, 11, 7405]                                               :    12      :    11      :    12      :    11     
[0, 0, 113341, 1, 118318, 2, 21342]                                              :    13      :    11      :    11      :    11     
[0, 0, 308125, 1, 187170, 0, 14830]                                              :    12      :    11      :    11      :    10     
[0, 0, 79983, 7, 47624, 0, 5037]                                                 :    12      :    11      :    11      :    11     
[0, 0, 50469, 2, 69893, 10, 4350]                                                :    12      :    11      :    11      :    10     
[0, 0, 15293, 2, 40192, 40, 4314]                                                :    11      :    10      :    11      :    11     
[0, 0, 139368, 3, 109540, 51, 6277]                                              :    12      :    11      :    12      :    12     
[0, 0, 181854, 2, 181232, 45, 5606]                                              :    12      :    11      :    12      :    12     
[0, 0, 50156, 6, 11820, 37, 4939]                                                :    11      :    11      :    12      :    12     
